Region,Confirmed_cases,New_confirmed_cases,Deaths,Region
China,80904,45,3123,Asia
Republic of Korea,7382,248,51,Western Pacific
Japan ,488,33,7,Western Pacific
Singapore,150,12,0,Western Pacific
Malaysia,93,0,0,Western Pacific
Australia,77,3,3,Western Pacific
Viet Nam,30,9,0,Western Pacific
Philippines,10,4,1,Western Pacific
New Zealand,5,0,0,Western Pacific
Cambodia,2,0,0,Western Pacific
Italy,7375,1492,366,European
France ,1116,410,19,European
Germany,1112,317,0,European
Spain,589,159,10,European
Switzerland,332,68,2,European
The United Kingdom,277,67,2,European
Netherlands,265,77,3,European
Sweden,203,42,0,European
Belgium,200,31,0,European
Norway,169,22,0,European
Austria,112,10,0,European
Greece,73,7,0,European
Iceland,55,10,0,European
Israel,39,14,0,European
San Marino,37,10,1,European
Denmark,36,5,0,European
Czechia,32,6,0,European
Finland,30,11,0,European
Portugal,30,9,0,European
Ireland,21,2,0,European
Slovenia,16,4,0,European
Romania,15,2,0,European
Georgia,13,1,0,European
Croatia,11,0,0,European
Poland,11,5,0,European
Estonia,10,0,0,European
Azerbaijan,9,0,0,European
Hungary,9,2,0,European
Russian Federation,7,0,0,European
Belarus,6,0,0,European
Slovakia,5,2,0,European
Bulgaria,4,2,0,European
Latvia,3,2,0,European
Malta,3,0,0,European
North Macedonia,3,0,0,European
Albania,2,2,0,European
Bosnia and Herzegovina,2,0,0,European
Luxembourg,2,0,0,European
Andorra,1,0,0,European
Armenia,1,0,0,European
Holy See,1,0,0,European
Liechtenstein,1,0,0,European
Lithuania,1,0,0,European
Monaco,1,0,0,European
Republic of Moldova,1,0,0,European
Serbia,1,0,0,European
Ukraine,1,0,0,European
Faroe Islands,3,2,0,Territories
Gibraltar,1,0,0,Territories
Thailand,50,0,1,South East Asia
India,43,9,0,South East Asia
Indonesia,6,2,0,South East Asia
Maldives,4,2,0,South East Asia
Bangladesh,3,3,0,South East Asia
Bhutan,1,0,0,South East Asia
Nepal,1,0,0,South East Asia
Sri Lanka,1,0,0,South East Asia
Iran,6566,743,194,Eastern Mediterranean
Bahrain,79,23,0,Eastern Mediterranean
Kuwait,64,2,0,Eastern Mediterranean
Iraq,60,6,6,Eastern Mediterranean
Egypt,55,7,1,Eastern Mediterranean
"United Arab
Emirates",45,0,0,Eastern Mediterranean
Lebanon,32,4,0,Eastern Mediterranean
Oman,16,0,0,Eastern Mediterranean
Qatar,15,3,0,Eastern Mediterranean
Saudi Arabia,15,8,0,Eastern Mediterranean
Pakistan,6,1,0,Eastern Mediterranean
Afghanistan,4,0,0,Eastern Mediterranean
Morocco,2,0,0,Eastern Mediterranean
Tunisia,2,1,0,Eastern Mediterranean
Jordan,1,0,0,Eastern Mediterranean
"occupied Palestinian
territory",19,3,0,Territories
"United States of
America",213,0,11,Americas
Canada,62,5,0,Americas
Brazil ,25,6,0,Americas
Ecuador,15,1,0,Americas
Argentina,12,3,1,Americas
Chile,10,5,0,Americas
Costa Rica,9,4,0,Americas
Mexico,7,0,0,Americas
Peru,6,0,0,Americas
Colombia,1,0,0,Americas
Dominican Republic,1,0,0,Americas
Paraguay,1,1,0,Americas
French Guiana,5,0,0,Territories
Martinique,2,0,0,Territories
Saint Martin,2,0,0,Territories
Saint Barthelemy,1,0,0,Territories
Algeria,20,3,0,African
Senegal,4,0,0,African
South Africa,3,1,0,African
Cameroon,2,0,0,African
Nigeria,2,1,0,African
Togo,1,0,0,African
Diamond Princess,696,0,7,"International
conveyance"
